"Direction","Year","Date","Weekday","Country","Commodity","Transport_Mode","Measure","Value","Cumulative"
"Reimports","2018","01/01/2018","Monday","All","All","All","$","0","0"
"Reimports","2018","02/01/2018","Tuesday","All","All","All","$","0","0"
"Reimports","2018","03/01/2018","Wednesday","All","All","All","$","0","0"
"Reimports","2018","04/01/2018","Thursday","All","All","All","$","0","0"
"Reimports","2018","05/01/2018","Friday","All","All","All","$","0","1000000"
"Reimports","2018","06/01/2018","Saturday","All","All","All","$","0","1000000"
"Reimports","2018","07/01/2018","Sunday","All","All","All","$","0","1000000"
"Reimports","2018","09/01/2018","Tuesday","All","All","All","$","0","2000000"
"Reimports","2018","10/01/2018","Wednesday","All","All","All","$","0","2000000"
"Reimports","2018","12/01/2018","Friday","All","All","All","$","0","3000000"
"Reimports","2018","13/01/2018","Saturday","All","All","All","$","0","3000000"
"Reimports","2018","14/01/2018","Sunday","All","All","All","$","0","3000000"
"Reimports","2018","15/01/2018","Monday","All","All","All","$","0","3000000"
"Reimports","2018","19/01/2018","Friday","All","All","All","$","0","9000000"
"Reimports","2018","20/01/2018","Saturday","All","All","All","$","0","9000000"
"Reimports","2018","21/01/2018","Sunday","All","All","All","$","0","9000000"
"Reimports","2018","22/01/2018","Monday","All","All","All","$","0","9000000"
"Reimports","2018","25/01/2018","Thursday","All","All","All","$","0","11000000"
"Reimports","2018","27/01/2018","Saturday","All","All","All","$","0","13000000"
"Reimports","2018","28/01/2018","Sunday","All","All","All","$","0","13000000"
"Reimports","2018","30/01/2018","Tuesday","All","All","All","$","0","13000000"
"Reimports","2018","31/01/2018","Wednesday","All","All","All","$","0","14000000"
"Reimports","2018","03/02/2018","Saturday","All","All","All","$","0","15000000"
"Reimports","2018","04/02/2018","Sunday","All","All","All","$","0","15000000"
"Reimports","2018","06/02/2018","Tuesday","All","All","All","$","0","16000000"
"Reimports","2018","08/02/2018","Thursday","All","All","All","$","0","17000000"
"Reimports","2018","09/02/2018","Friday","All","All","All","$","0","18000000"
"Reimports","2018","10/02/2018","Saturday","All","All","All","$","0","18000000"
"Reimports","2018","11/02/2018","Sunday","All","All","All","$","0","18000000"
"Reimports","2018","14/02/2018","Wednesday","All","All","All","$","0","20000000"
"Reimports","2018","17/02/2018","Saturday","All","All","All","$","0","22000000"
"Reimports","2018","18/02/2018","Sunday","All","All","All","$","0","22000000"
"Reimports","2018","19/02/2018","Monday","All","All","All","$","0","23000000"
"Reimports","2018","21/02/2018","Wednesday","All","All","All","$","0","24000000"
"Reimports","2018","24/02/2018","Saturday","All","All","All","$","0","25000000"
"Reimports","2018","25/02/2018","Sunday","All","All","All","$","0","26000000"
"Reimports","2018","28/02/2018","Wednesday","All","All","All","$","0","28000000"
"Reimports","2018","03/03/2018","Saturday","All","All","All","$","0","30000000"
"Reimports","2018","04/03/2018","Sunday","All","All","All","$","0","30000000"
"Reimports","2018","06/03/2018","Tuesday","All","All","All","$","0","31000000"
"Reimports","2018","10/03/2018","Saturday","All","All","All","$","0","34000000"
"Reimports","2018","11/03/2018","Sunday","All","All","All","$","0","34000000"
"Reimports","2018","13/03/2018","Tuesday","All","All","All","$","0","36000000"
"Reimports","2018","14/03/2018","Wednesday","All","All","All","$","0","36000000"
